# Frame_Num   Avg_Cluster_Size   Std_Cluster_Size   Avg_Polymer_Cluster_Size   Std_Polymer_Cluster_Size   Largest_Cluster   Num_Clusters   Num_Polymer_Clusters   Num_Mixed_Clusters   Num_Solvent_Clusters   Fraction_Largest  Weight_Avg_Cluster_Size
800   1.419355   11.356096   1.569801   6.374817   432   1550   351   18   1181   0.196364   92.278182
805   1.417526   11.256883   1.511364   6.196580   429   1552   352   22   1178   0.195000   90.810909
810   1.413882   11.121364   2.401685   22.334130   423   1556   356   20   1180   0.192273   88.892727
815   1.413882   11.233656   1.537604   6.081902   429   1556   359   16   1181   0.195000   90.668182
820   1.419355   11.139683   1.564103   6.208694   424   1550   351   23   1176   0.192727   88.848182
825   1.413882   11.152987   1.547486   6.036827   426   1556   358   18   1180   0.193636   89.390909
830   1.414791   13.667279   1.224719   0.613570   540   1555   356   17   1182   0.245455   133.444545
835   1.425794   11.421440   2.799419   24.134263   435   1543   344   24   1175   0.197727   92.918182
840   1.412974   11.376475   1.201117   0.558128   435   1557   358   15   1184   0.197727   93.010000
845   1.423027   11.495973   1.217143   0.589181   438   1546   350   25   1171   0.199091   94.293636
850   1.413882   11.348914   2.752809   23.675252   434   1556   356   14   1186   0.197273   92.509091
855   1.422107   11.450051   1.206897   0.589914   436   1547   348   25   1174   0.198182   93.611818
860   1.419355   11.487817   1.526912   6.230237   438   1550   353   20   1177   0.199091   94.398182
865   1.419355   11.494162   1.197143   0.527520   438   1550   350   21   1179   0.199091   94.500909
870   1.420271   11.755674   1.194915   0.524945   448   1549   354   15   1180   0.203636   98.722727
875   1.422107   11.556370   1.548851   6.541242   439   1547   348   19   1180   0.199545   95.331818
880   1.426719   11.550633   1.192420   0.515928   438   1542   343   27   1172   0.199091   94.940000
885   1.424870   11.561093   1.559420   6.517542   439   1544   345   19   1180   0.199545   95.229091
890   1.423948   11.550405   1.557803   6.455572   439   1545   346   23   1176   0.199545   95.115455
895   1.415701   11.645710   1.163842   0.446256   444   1554   354   17   1183   0.201818   97.214545
900   1.413882   11.711053   1.522472   6.413386   447   1556   356   12   1188   0.203182   98.415455
905   1.425794   11.845551   1.524638   6.406528   451   1543   345   23   1175   0.205000   99.839091
910   1.423027   11.769161   1.541547   6.638139   447   1546   349   19   1178   0.203182   98.760000
915   1.419355   11.817194   1.161017   0.503721   449   1550   354   15   1181   0.204091   99.806364
920   1.417526   11.736021   2.778409   24.592400   446   1552   352   17   1183   0.202727   98.582727
925   1.421189   11.768256   1.153846   0.464379   447   1548   351   25   1172   0.203182   98.869091
930   1.416613   11.658575   2.762040   24.403711   443   1553   353   21   1179   0.201364   97.365455
935   1.417526   11.700941   2.795455   24.517809   444   1552   352   12   1188   0.201818   98.002727
940   1.417526   11.795166   2.795455   24.715959   447   1552   352   12   1188   0.203182   99.564545
945   1.420271   11.838198   1.160000   0.504381   448   1549   350   15   1184   0.203636   100.093636
950   1.420271   11.903946   1.160000   0.498684   451   1549   350   15   1184   0.205000   101.192727
955   1.423027   11.954294   2.450867   24.315227   454   1546   346   22   1178   0.206364   101.846364
960   1.423027   11.908810   1.137931   0.483579   451   1546   348   21   1177   0.205000   101.083636
965   1.430429   15.066326   1.131579   0.480859   592   1538   342   23   1173   0.269091   160.120000
970   1.420271   14.885693   1.142857   0.486554   587   1549   350   13   1186   0.266818   157.435455
975   1.425794   14.838497   1.154519   0.520177   584   1543   343   18   1182   0.265455   155.852727
980   1.425794   14.788403   1.139535   0.480135   582   1543   344   16   1183   0.264545   154.811818
985   1.423027   14.798809   2.829971   31.194425   583   1546   347   13   1186   0.265000   155.323636
990   1.429500   15.111995   1.140351   0.456478   594   1539   342   20   1177   0.270000   161.186364
995   1.432292   15.050673   1.139053   0.436719   591   1536   338   21   1177   0.268636   159.586364
1000   1.427644   15.077115   2.903226   32.006864   593   1541   341   9   1191   0.269545   160.654545
