# Frame_Num   Avg_Cluster_Size   Std_Cluster_Size   Avg_Polymer_Cluster_Size   Std_Polymer_Cluster_Size   Largest_Cluster   Num_Clusters   Num_Polymer_Clusters   Num_Mixed_Clusters   Num_Solvent_Clusters   Fraction_Largest  Weight_Avg_Cluster_Size
800   1.447368   15.054676   1.206154   0.758922   588   1520   325   24   1171   0.267273   158.037273
805   1.440733   15.071417   1.203030   0.773416   590   1527   330   17   1180   0.268182   159.101818
810   1.436031   15.047460   1.190616   0.811591   590   1532   341   13   1178   0.268182   159.110909
815   1.436969   15.052242   1.150888   0.720176   590   1531   338   21   1172   0.268182   159.109091
820   1.430429   14.838819   1.173529   0.708689   583   1538   340   19   1179   0.265000   155.363636
825   1.427644   14.926669   1.147399   0.557354   587   1541   346   13   1182   0.266818   157.492727
830   1.433225   14.904799   1.181818   0.759548   585   1535   341   16   1178   0.265909   156.435455
835   1.430429   14.686517   1.176471   0.730455   577   1538   340   20   1178   0.262273   152.220000
840   1.425794   14.662751   1.175793   0.716774   577   1543   347   14   1182   0.262273   152.216364
845   1.431360   14.945640   1.160819   0.713600   587   1537   342   19   1176   0.266818   157.487273
850   1.434159   14.985757   1.176991   0.727424   588   1534   339   17   1178   0.267273   158.022727
855   1.436969   15.051939   1.166667   0.700057   590   1531   336   17   1178   0.268182   159.102727
860   1.450231   15.223657   1.203077   0.769809   594   1517   325   22   1170   0.270000   161.259091
865   1.444517   15.168480   1.160121   0.583027   593   1523   331   20   1172   0.269545   160.724545
870   1.444517   15.219602   1.170732   0.757964   595   1523   328   21   1174   0.270455   161.800000
875   1.444517   15.245422   1.200000   0.821676   596   1523   330   15   1178   0.270909   162.344545
880   1.432292   15.103182   1.181548   0.711148   593   1536   336   11   1189   0.269545   160.691818
885   1.440733   15.276075   1.184848   0.777962   598   1527   330   16   1181   0.271818   163.412727
890   1.437908   15.210046   1.194611   0.782194   596   1530   334   11   1185   0.270909   162.328182
895   1.438849   15.319756   1.120120   0.562051   600   1529   333   13   1183   0.272727   164.551818
900   1.441678   15.385273   1.151057   0.855844   602   1526   331   16   1179   0.273636   165.630000
905   1.446417   15.536470   1.167173   0.731001   607   1521   329   16   1176   0.275909   168.329091
910   1.441678   15.434177   1.169643   0.726477   604   1526   336   14   1176   0.274545   166.675455
915   1.444517   15.321549   1.170732   0.725072   599   1523   328   19   1176   0.272273   163.955455
920   1.446417   15.434745   1.155488   0.632142   603   1521   328   15   1178   0.274091   166.150909
925   1.446417   15.459814   1.171254   0.717645   604   1521   327   15   1179   0.274545   166.686364
930   1.437908   15.413698   1.169643   0.697210   604   1530   336   10   1184   0.274545   166.665455
935   1.441678   15.381993   1.158055   0.598329   602   1526   329   18   1179   0.273636   165.560000
940   1.438849   15.341641   1.153153   0.529006   601   1529   333   12   1184   0.273182   165.018182
945   1.449275   15.705072   1.130031   0.499345   613   1518   323   19   1176   0.278636   171.637273
950   1.454065   15.679984   1.146875   0.637615   611   1513   320   21   1172   0.277727   170.540000
955   1.447368   15.643853   1.120000   0.527170   611   1520   325   19   1176   0.277727   170.533636
960   1.445466   15.710421   1.143731   0.635939   614   1522   327   13   1182   0.279091   172.198182
965   1.451187   15.792800   1.169753   0.719361   616   1516   324   14   1178   0.280000   173.319091
970   1.437908   15.464752   1.147590   0.658055   606   1530   332   11   1187   0.275455   167.761818
975   1.442623   15.540370   1.118541   0.455887   608   1525   329   19   1177   0.276364   168.848182
980   1.439791   15.499292   1.155015   0.559782   607   1528   329   15   1184   0.275909   168.289091
985   1.454065   15.910005   1.155763   0.564284   620   1513   321   17   1175   0.281818   175.537273
990   1.456954   15.900200   1.167722   0.573990   619   1510   316   15   1179   0.281364   174.980909
995   1.461794   16.107200   1.149682   0.569850   626   1505   314   17   1174   0.284545   178.943636
1000   1.454065   15.807941   1.127389   0.501286   616   1513   314   18   1181   0.280000   173.310909
