# Frame_Num   Polymer_K   Solvent_K   Mixture_K   Dense_Polymers   Dilute_Polymers   Dense_Solvents   Dilute_Solvents   Mixture_K_Weighted
800   11.986014   3.269884   4.472637   857   143   941   259   4.705842
805   7.302326   1.800000   2.577236   785   215   800   400   2.750529
810   7.708738   2.034783   2.832753   794   206   832   368   2.985187
815   7.433962   1.855102   2.642384   788   212   808   392   2.813841
820   3.540166   0.903005   1.291667   639   361   601   599   1.351859
825   5.352942   1.273038   1.860858   728   272   703   497   1.988116
830   8.204082   1.980000   2.852890   804   196   825   375   3.064564
835   5.518796   1.359414   1.956989   734   266   722   478   2.078159
840   4.944444   1.165010   1.712700   712   288   677   523   1.829804
845   14.666666   3.695745   5.197183   880   120   965   235   5.573179
850   5.782102   1.594227   2.188406   743   257   767   433   2.280312
855   9.428572   2.295266   3.288499   825   175   862   338   3.533928
860   10.195122   2.276471   3.365079   836   164   860   340   3.696752
865   12.598540   2.902817   4.225653   863   137   916   284   4.622588
870   7.523810   2.018919   2.793103   790   210   830   370   2.933544
875   6.064516   1.623364   2.254438   752   248   772   428   2.362156
880   8.050252   1.855102   2.722504   801   199   808   392   2.953907
885   5.352942   1.354697   1.929427   728   272   721   479   2.037606
890   6.403362   1.629274   2.308271   762   238   773   427   2.442748
895   6.888888   1.683732   2.421462   775   225   782   418   2.586100
900   7.009010   1.942106   2.654485   778   222   820   380   2.769990
905   5.936508   1.295122   1.956989   748   252   708   492   2.134129
910   7.569378   1.869231   2.672788   791   209   810   390   2.853180
915   4.825938   1.221808   1.743142   707   293   691   509   1.837294
920   6.888888   1.793267   2.514377   775   225   799   401   2.652485
925   8.362694   2.083425   2.963964   807   193   838   362   3.163294
930   13.037594   3.237931   4.583756   867   133   939   261   4.925472
935   6.032128   1.458078   2.111740   751   249   742   458   2.254622
940   4.349206   0.962069   1.458101   685   315   620   580   1.571528
945   13.503876   2.712040   4.140187   871   129   901   299   4.712723
950   7.615384   1.708696   2.536977   792   208   786   414   2.766342
955   6.196722   1.565753   2.225806   756   244   762   438   2.357287
960   10.195122   2.475000   3.545455   836   164   880   320   3.817073
965   8.152284   2.159490   3.000000   803   197   847   353   3.161574
970   7.900990   2.042779   2.866432   798   202   833   367   3.033728
975   5.407408   1.432614   2.001364   730   270   737   463   2.097207
980   4.711410   1.217647   1.722772   702   298   690   510   1.808743
985   11.605442   2.773470   3.988662   853   147   906   294   4.318491
990   12.492754   3.175472   4.459057   862   138   935   265   4.763790
995   7.259260   1.629274   2.421462   784   216   773   427   2.637270
1000   9.235956   2.353012   3.313725   822   178   868   332   3.525149
