# Frame_Num   Polymer_K   Solvent_K   Mixture_K   Dense_Polymers   Dilute_Polymers   Dense_Solvents   Dilute_Solvents   Mixture_K_Weighted
800   3.923193   1.217220   2.102962   737   263   754   446   2.195900
805   7.933334   2.354733   4.104408   850   150   919   281   4.359646
810   6.007407   1.495385   2.799655   811   189   810   390   3.083324
815   6.692486   1.755644   3.214559   827   173   851   349   3.502919
820   5.462745   1.429254   2.630363   796   204   798   402   2.856387
825   4.433334   1.284641   2.278689   760   240   769   431   2.412606
830   4.409129   1.158261   2.138374   759   241   740   460   2.309006
835   5.111628   1.530000   2.672788   785   215   816   384   2.818710
840   6.787134   1.859105   3.347826   829   171   865   335   3.612028
845   4.582906   1.322553   2.348554   766   234   777   423   2.489891
850   5.363285   1.372010   2.548387   793   207   787   413   2.780728
855   7.136585   1.851429   3.400000   836   164   864   336   3.719671
860   2.404347   0.613333   1.165354   632   368   552   648   1.245279
865   6.421229   1.727592   3.135338   821   179   847   353   3.393596
870   7.574358   2.603077   4.288462   844   156   940   260   4.431235
875   5.670707   1.734546   3.000000   802   198   848   352   3.155188
880   5.081482   1.284641   2.400309   784   216   769   431   2.623044
885   3.600001   1.080000   1.894737   720   280   720   480   1.987013
890   4.740351   1.298691   2.353659   772   228   772   428   2.522932
895   5.330769   1.634224   2.826087   792   208   833   367   2.968817
900   3.600001   1.114395   1.929427   720   280   729   471   2.013070
905   4.177690   1.126154   2.059805   749   251   732   468   2.209539
910   4.361316   1.266207   2.244838   757   243   765   435   2.375260
915   7.460760   2.040384   3.670913   842   158   887   313   3.968070
920   3.546997   1.054128   1.857143   717   283   713   487   1.950204
925   7.517198   1.843798   3.453441   843   157   863   337   3.837465
930   8.059460   2.552728   4.339806   852   148   936   264   4.550592
935   4.222490   1.208571   2.156385   751   249   752   448   2.286523
940   2.446154   0.717604   1.279793   636   364   599   601   1.337845
945   4.660606   1.225946   2.259259   769   231   756   444   2.441931
950   3.635971   0.984142   1.802548   722   278   693   507   1.926072
955   7.033734   2.005552   3.554865   834   166   883   317   3.803038
960   10.464406   3.036522   5.321839   882   118   970   230   5.697930
965   2.988714   0.833957   1.514286   681   319   644   556   1.602147
970   7.295652   1.859105   3.435484   839   161   865   335   3.777131
975   6.983234   2.085195   3.631579   833   167   892   308   3.846977
980   5.022018   1.284641   2.389831   782   218   769   431   2.603738
985   5.742857   1.356923   2.594771   804   196   784   416   2.892536
990   4.314286   1.162353   2.125000   755   245   741   459   2.281313
995   3.690910   1.014940   1.846054   725   275   702   498   1.967241
1000   2.855320   0.806502   1.458101   671   329   634   566   1.538038
